PC01,Where is this golfer from?,Tiger Woods is from California in the USA,1,1,Tiger Woods,85,302
PC02,Where is this golfer from?,Rory McIllroy is from Northern Ireland,1,1,Rory McIllroy,428,180
PC03,Where is this golfer from?,Jon Rahm is from Spain,3,3,Jon Rahm,440,252
PC04,Where is this golfer from?,Jordan Spieth is from Texas in the USA,5,4,Jordan Spieth,151,320
PC05,Where is this golfer from?,Viktor Hovland is from Norway,2,2,Viktor Hovland,479,150
PC06,Where is this golfer from?,Patrick Cantlay is from California in the USA,4,4,Patrick Cantlay,84,290
PC07,Where is this golfer from?,Alex Noren is from Sweden,8,5,Alex Noren,500,150
PC08,Where is this golfer from?,Tom McKibbin is from Northern Ireland,10,5,Tom McKibbin,428,183
PC09,Where is this golfer from?,Rickie Fowler is from California in the USA,3,2,Rickie Fowler,92,290
PC10,Where is this golfer from?,Bryson DeChambeau is from California in the USA,2,2,Bryson DeChambeau,73,322
PC11,Where is this golfer from?,Scottie Scheffler is from New Jersey in the USA,1,1,Scottie Scheffler,221,255
PC12,Where is this golfer from?,Tommy Fleetwood is from England,2,3,Tommy Fleetwood,437,200
PC13,Where is this course?,USA,1,1,USA,239,302
PC14,Where is this course?,USA,2,2,USA1,75,276
PC15,Where is this course?,UAE,3,3,UAE,616,354
PC16,Where is this course?,Spain,5,4,Spain,433,282
PC17,Where is this course?,France,6,4,France,445,241
PC18,Where is this course?,Scotland,4,3,Scotland,439,177
PC19,Where is this course?,Northern Ireland,2,2,Northern Ireland,428,178
PC20,Where is this course?,Australia,6,4,Australia,885,712
PC21,Where is this course?,South Africa,7,5,South Africa,503,683
PC22,Where is this course?,Chile,10,5,Chile,228,668
PC23,Where is this course?,USA,4,3,USA2,195,331
PC24,Where is this course?,USA,3,2,USA3,205,293
PC25,Where does the best player in the world live?,Norn Iron of course!!!,10,1,FILEPATHC:\Users\andre\OneDrive\Pictures\IMG-20230821-WA0002.jpg,427,182
